Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
Maleny,R03 - SC,4552,QLD,KEEP AWAY,1 in 5,Medium (20-49),0,18,3,8,7,36,19.40%,30.60%,8.30%,22.20%,24/11/25,4-5cm,,,,,,,
Mooloolah Valley,R03 - SC,4553,QLD,GO,1 in 4,Low (10-19),0,7,1,6,5,19,26.30%,36.80%,5.30%,31.60%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Palmview,R03 - SC,4553,QLD,ON THE FENCE,1 in 8,Low (10-19),0,10,0,3,2,15,13.30%,20.00%,0.00%,20.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Hunchy,R03 - SC,4555,QLD,GO,1 in 2,Very Low (<10),0,2,1,0,2,5,40.00%,20.00%,20.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R03 - SC,4555,QLD,UNPROVEN,No Claims,Very Low (<10),0,5,0,0,0,5,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Palmwoods,R03 - SC,4555,QLD,KEEP AWAY,1 in 7,High (50+),10,33,6,24,13,86,15.10%,34.90%,7.00%,27.90%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Chevallum,R03 - SC,4555,QLD,KEEP AWAY,No Claims,Very Low (<10),1,0,1,3,0,5,0.00%,80.00%,20.00%,60.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Sippy Downs,R03 - SC,4556,QLD,ON THE FENCE,1 in 9,High (50+),19,57,1,17,12,106,11.30%,17.00%,0.90%,16.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Buderim,R03 - SC,4556,QLD,ON THE FENCE,1 in 7,High (50+),11,38,3,19,11,82,13.40%,26.80%,3.70%,23.20%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R03 - SC,4556,QLD,ON THE FENCE,No Claims,Very Low (<10),1,4,1,1,0,7,0.00%,28.60%,14.30%,14.30%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Tanawha,R03 - SC,4556,QLD,KEEP AWAY,1 in 8,Low (10-19),2,6,1,5,2,16,12.50%,37.50%,6.20%,31.20%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Mooloolaba,R03 - SC,4557,QLD,WORTH IT,1 in 5,Low (10-19),0,5,1,2,2,10,20.00%,30.00%,10.00%,20.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Mountain Creek,R03 - SC,4557,QLD,KEEP AWAY,No Claims,Very Low (<10),1,5,1,2,0,9,0.00%,33.30%,11.10%,22.20%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Maroochydore,R03 - SC,4558,QLD,ON THE FENCE,1 in 9,High (50+),12,66,5,26,14,123,11.40%,25.20%,4.10%,21.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R03 - SC,4558,QLD,UNPROVEN,No Claims,Very Low (<10),2,5,0,0,0,7,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kuluin,R03 - SC,4558,QLD,KEEP AWAY,1 in 7,Medium (20-49),3,8,2,5,3,21,14.30%,33.30%,9.50%,23.80%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kiels Mountain,R03 - SC,4559,QLD,GO,1 in 4,Very Low (<10),0,4,0,1,2,7,28.60%,14.30%,0.00%,14.30%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Woombye,R03 - SC,4559,QLD,ON THE FENCE,1 in 9,High (50+),9,41,7,15,9,81,11.10%,27.20%,8.60%,18.50%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
West Woombye,R03 - SC,4559,QLD,KEEP AWAY,1 in 6,Low (10-19),4,4,2,4,3,17,17.60%,35.30%,11.80%,23.50%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Nambour,R03 - SC,4560,QLD,GO,1 in 4,High (50+),1,27,2,28,21,79,26.60%,38.00%,2.50%,35.40%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Mapleton,R03 - SC,4560,QLD,GO,1 in 2,High (50+),0,28,5,2,42,77,54.50%,9.10%,6.50%,2.60%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Kureelpa,R03 - SC,4560,QLD,GO,1 in 2,Medium (20-49),0,15,2,1,12,30,40.00%,10.00%,6.70%,3.30%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Coes Creek,R03 - SC,4560,QLD,GO,1 in 2,Medium (20-49),2,6,0,6,12,26,46.20%,23.10%,0.00%,23.10%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Burnside,R03 - SC,4560,QLD,GO,1 in 3,Medium (20-49),2,9,2,4,7,24,29.20%,25.00%,8.30%,16.70%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Flaxton,R03 - SC,4560,QLD,GO,1 in 3,Low (10-19),0,10,0,1,7,18,38.90%,5.60%,0.00%,5.60%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Montville,R03 - SC,4560,QLD,GO,1 in 2,Low (10-19),0,5,2,0,8,15,53.30%,13.30%,13.30%,0.00%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Perwillowen,R03 - SC,4560,QLD,WORTH IT,1 in 5,Very Low (<10),0,3,1,0,1,5,20.00%,20.00%,20.00%,0.00%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
(No Suburb Listed),R03 - SC,4560,QLD,ON THE FENCE,No Claims,Low (10-19),2,10,0,1,0,13,0.00%,7.70%,0.00%,7.70%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Bli Bli,R03 - SC,4560,QLD,KEEP AWAY,1 in 8,Low (10-19),2,6,0,7,2,17,11.80%,41.20%,0.00%,41.20%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Rosemount,R03 - SC,4560,QLD,KEEP AWAY,No Claims,Very Low (<10),1,3,0,4,0,8,0.00%,50.00%,0.00%,50.00%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Yandina Creek,R03 - SC,4561,QLD,ON THE FENCE,No Claims,Very Low (<10),0,4,1,0,0,5,0.00%,20.00%,20.00%,0.00%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Yandina,R03 - SC,4561,QLD,KEEP AWAY,1 in 6,Very Low (<10),0,3,0,2,1,6,16.70%,33.30%,0.00%,33.30%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Belli Park,R03 - SC,4562,QLD,GO,1 in 1,Low (10-19),0,2,1,1,12,16,75.00%,12.50%,6.20%,6.20%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Eerwah Vale,R03 - SC,4562,QLD,GO,1 in 1,Very Low (<10),0,2,0,0,5,7,71.40%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Eumundi,R03 - SC,4562,QLD,ON THE FENCE,1 in 9,Very Low (<10),2,4,0,2,1,9,11.10%,22.20%,0.00%,22.20%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Doonan,R03 - SC,4562,QLD,KEEP AWAY,1 in 11,Low (10-19),1,2,0,7,1,11,9.10%,63.60%,0.00%,63.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4562,QLD,KEEP AWAY,No Claims,Very Low (<10),0,4,0,2,0,6,0.00%,33.30%,0.00%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Cooroy,R03 - SC,4563,QLD,GO,1 in 2,High (50+),1,23,4,8,32,68,47.10%,17.60%,5.90%,11.80%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Black Mountain,R03 - SC,4563,QLD,GO,1 in 3,Low (10-19),1,10,1,0,7,19,36.80%,5.30%,5.30%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Lake MacDonald,R03 - SC,4563,QLD,GO,1 in 3,Low (10-19),1,6,0,2,5,14,35.70%,14.30%,0.00%,14.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Tinbeerwah,R03 - SC,4563,QLD,ON THE FENCE,No Claims,Very Low (<10),1,3,0,1,0,5,0.00%,20.00%,0.00%,20.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Pacific Paradise,R03 - SC,4564,QLD,GO,1 in 3,High (50+),5,53,1,4,37,100,37.00%,5.00%,1.00%,4.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Marcoola,R03 - SC,4564,QLD,ON THE FENCE,1 in 7,Medium (20-49),1,13,2,2,3,21,14.30%,19.00%,9.50%,9.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Mudjimba,R03 - SC,4564,QLD,KEEP AWAY,1 in 5,High (50+),2,26,7,29,15,79,19.00%,45.60%,8.90%,36.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Twin Waters,R03 - SC,4564,QLD,KEEP AWAY,1 in 6,High (50+),5,28,14,14,13,74,17.60%,37.80%,18.90%,18.90%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4564,QLD,KEEP AWAY,1 in 6,Very Low (<10),0,2,0,3,1,6,16.70%,50.00%,0.00%,50.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Cooroibah,R03 - SC,4565,QLD,GO,1 in 2,Very Low (<10),0,2,0,1,4,7,57.10%,14.30%,0.00%,14.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Tewantin,R03 - SC,4565,QLD,WORTH IT,1 in 4,Medium (20-49),3,8,1,8,6,26,23.10%,34.60%,3.80%,30.80%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Noosaville,R03 - SC,4566,QLD,KEEP AWAY,1 in 9,Very Low (<10),2,3,1,2,1,9,11.10%,33.30%,11.10%,22.20%,24/11/25,4-5cm,,31/10/25,5-6cm,,,,
Pomona,R03 - SC,4568,QLD,GO,1 in 3,Low (10-19),1,4,0,2,3,10,30.00%,20.00%,0.00%,20.00%,24/11/25,4-5cm,,31/10/25,5-6cm,,,,
Pinbarren,R03 - SC,4568,QLD,GO,1 in 3,Very Low (<10),2,1,0,1,2,6,33.30%,16.70%,0.00%,16.70%,24/11/25,4-5cm,,31/10/25,5-6cm,,,,
Cooran,R03 - SC,4569,QLD,WORTH IT,1 in 5,Low (10-19),1,4,0,3,2,10,20.00%,30.00%,0.00%,30.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Gympie,R02 - GM,4570,QLD,GO,1 in 3,High (50+),6,233,47,32,170,488,34.80%,16.20%,9.60%,6.60%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Jones Hill,R02 - GM,4570,QLD,GO,1 in 3,Medium (20-49),2,18,5,0,13,38,34.20%,13.20%,13.20%,0.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Veteran,R02 - GM,4570,QLD,GO,1 in 3,Medium (20-49),0,12,4,10,11,37,29.70%,37.80%,10.80%,27.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Victory Heights,R02 - GM,4570,QLD,GO,1 in 2,Medium (20-49),0,13,2,1,12,28,42.90%,10.70%,7.10%,3.60%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Monkland,R02 - GM,4570,QLD,GO,1 in 3,Medium (20-49),0,10,1,2,7,20,35.00%,15.00%,5.00%,10.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Curra,R02 - GM,4570,QLD,GO,1 in 4,Low (10-19),2,6,2,3,5,18,27.80%,27.80%,11.10%,16.70%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Araluen,R02 - GM,4570,QLD,GO,1 in 3,Low (10-19),0,2,2,4,4,12,33.30%,50.00%,16.70%,33.30%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Pie Creek,R02 - GM,4570,QLD,GO,1 in 3,Low (10-19),0,4,0,4,4,12,33.30%,33.30%,0.00%,33.30%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Widgee,R02 - GM,4570,QLD,GO,1 in 2,Low (10-19),0,5,0,0,6,11,54.50%,0.00%,0.00%,0.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
North Deep Creek,R02 - GM,4570,QLD,GO,1 in 2,Low (10-19),0,3,0,2,5,10,50.00%,20.00%,0.00%,20.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Banks Pocket,R02 - GM,4570,QLD,GO,1 in 2,Very Low (<10),0,1,1,2,4,8,50.00%,37.50%,12.50%,25.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Neerdie,R02 - GM,4570,QLD,GO,1 in 2,Very Low (<10),0,2,0,1,3,6,50.00%,16.70%,0.00%,16.70%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Brooloo,R02 - GM,4570,QLD,GO,1 in 2,Very Low (<10),0,1,0,2,2,5,40.00%,40.00%,0.00%,40.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Southside,R02 - GM,4570,QLD,WORTH IT,1 in 4,High (50+),1,94,25,21,41,182,22.50%,25.30%,13.70%,11.50%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Kandanga,R02 - GM,4570,QLD,WORTH IT,1 in 5,Very Low (<10),0,3,0,1,1,5,20.00%,20.00%,0.00%,20.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
(No Suburb Listed),R02 - GM,4570,QLD,ON THE FENCE,1 in 13,Low (10-19),1,10,0,1,1,13,7.70%,7.70%,0.00%,7.70%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Wallu,R02 - GM,4570,QLD,KEEP AWAY,No Claims,Very Low (<10),0,4,0,3,0,7,0.00%,42.90%,0.00%,42.90%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Chatsworth,R02 - GM,4570,QLD,KEEP AWAY,No Claims,Very Low (<10),0,4,1,1,0,6,0.00%,33.30%,16.70%,16.70%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Mothar Mountain,R02 - GM,4570,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,1,4,0,6,0.00%,83.30%,16.70%,66.70%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
The Dawn,R02 - GM,4570,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,5,0,6,0.00%,83.30%,0.00%,83.30%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Kin Kin,R02 - GM,4571,QLD,GO,1 in 2,Very Low (<10),0,1,1,2,5,9,55.60%,33.30%,11.10%,22.20%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Alexandra Headland,R03 - SC,4572,QLD,ON THE FENCE,1 in 8,Low (10-19),0,10,1,3,2,16,12.50%,25.00%,6.20%,18.80%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Yaroomba,R03 - SC,4573,QLD,GO,1 in 2,Very Low (<10),0,1,0,2,2,5,40.00%,40.00%,0.00%,40.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Peregian Springs,R03 - SC,4573,QLD,WORTH IT,1 in 5,Very Low (<10),0,2,0,2,1,5,20.00%,40.00%,0.00%,40.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Peregian Beach,R03 - SC,4573,QLD,ON THE FENCE,1 in 6,Medium (20-49),10,16,1,4,6,37,16.20%,13.50%,2.70%,10.80%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Mount Coolum,R03 - SC,4573,QLD,ON THE FENCE,1 in 5,Low (10-19),2,7,1,3,3,16,18.80%,25.00%,6.20%,18.80%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Coolum Beach,R03 - SC,4573,QLD,KEEP AWAY,No Claims,Low (10-19),1,2,0,7,0,10,0.00%,70.00%,0.00%,70.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Marcus Beach,R03 - SC,4573,QLD,KEEP AWAY,No Claims,Very Low (<10),0,5,2,1,0,8,0.00%,37.50%,25.00%,12.50%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Kenilworth,R02 - GM,4574,QLD,GO,1 in 2,Low (10-19),2,3,0,3,6,14,42.90%,21.40%,0.00%,21.40%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Wurtulla,R03 - SC,4575,QLD,GO,1 in 4,Low (10-19),1,10,0,0,4,15,26.70%,0.00%,0.00%,0.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Warana,R03 - SC,4575,QLD,ON THE FENCE,1 in 10,Low (10-19),1,6,0,2,1,10,10.00%,20.00%,0.00%,20.00%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Parrearra,R03 - SC,4575,QLD,KEEP AWAY,1 in 6,Very Low (<10),0,3,0,2,1,6,16.70%,33.30%,0.00%,33.30%,31/10/2025,3-4cm,,15/11/2024,3-4cm,,04/12/2023,4-5cm,
Cooloola Cove,R02 - GM,4580,QLD,GO,1 in 4,High (50+),1,56,3,5,25,90,27.80%,8.90%,3.30%,5.60%,02/10/2025,7+cm,,,,,,,
Tin Can Bay,R02 - GM,4580,QLD,GO,1 in 4,High (50+),4,24,5,15,17,65,26.20%,30.80%,7.70%,23.10%,02/10/2025,7+cm,,,,,,,
(No Suburb Listed),R02 - GM,4580,QLD,GO,1 in 4,Very Low (<10),0,6,0,0,2,8,25.00%,0.00%,0.00%,0.00%,02/10/2025,7+cm,,,,,,,
Rainbow Beach,R02 - GM,4581,QLD,KEEP AWAY,1 in 13,Low (10-19),0,5,1,6,1,13,7.70%,53.80%,7.70%,46.20%,02/10/2025,7+cm,,,,,,,
Murgon,OOA,4605,QLD,ON THE FENCE,1 in 6,Very Low (<10),0,4,0,1,1,6,16.70%,16.70%,0.00%,16.70%,02/10/2025,7+cm,,,,,,,
Kingaroy,OOA,4610,QLD,GO,1 in 3,Very Low (<10),0,6,0,0,3,9,33.30%,0.00%,0.00%,0.00%,02/10/2025,7+cm,,,,,,,
South Nanango,OOA,4615,QLD,GO,1 in 2,Very Low (<10),1,1,0,0,3,5,60.00%,0.00%,0.00%,0.00%,02/10/2025,7+cm,,,,,,,
Nanango,OOA,4615,QLD,WORTH IT,1 in 4,Low (10-19),4,4,1,1,3,13,23.10%,15.40%,7.70%,7.70%,02/10/2025,7+cm,,,,,,,
Maryborough,R02 - GM,4650,QLD,GO,1 in 3,High (50+),20,365,236,302,434,"1,357",32.00%,39.60%,17.40%,22.30%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Tinana,R02 - GM,4650,QLD,GO,1 in 3,High (50+),21,323,66,74,239,723,33.10%,19.40%,9.10%,10.20%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Granville,R02 - GM,4650,QLD,GO,1 in 2,High (50+),2,103,14,12,110,241,45.60%,10.80%,5.80%,5.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Maryborough West,R02 - GM,4650,QLD,GO,1 in 3,High (50+),0,12,8,13,20,53,37.70%,39.60%,15.10%,24.50%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Oakhurst,R02 - GM,4650,QLD,GO,1 in 3,High (50+),3,26,3,2,17,51,33.30%,9.80%,5.90%,3.90%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Bidwill,R02 - GM,4650,QLD,GO,1 in 2,Medium (20-49),0,9,3,2,16,30,53.30%,16.70%,10.00%,6.70%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Tinana South,R02 - GM,4650,QLD,GO,1 in 2,Low (10-19),0,6,1,2,9,18,50.00%,16.70%,5.60%,11.10%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Magnolia,R02 - GM,4650,QLD,GO,1 in 3,Low (10-19),0,4,1,3,5,13,38.50%,30.80%,7.70%,23.10%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Teddington,R02 - GM,4650,QLD,GO,1 in 1,Low (10-19),0,1,2,0,8,11,72.70%,18.20%,18.20%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Yengarie,R02 - GM,4650,QLD,GO,1 in 3,Low (10-19),1,5,0,1,3,10,30.00%,10.00%,0.00%,10.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Mungar,R02 - GM,4650,QLD,GO,1 in 3,Very Low (<10),1,2,0,2,3,8,37.50%,25.00%,0.00%,25.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Bauple,R02 - GM,4650,QLD,GO,1 in 4,Very Low (<10),1,3,1,0,2,7,28.60%,14.30%,14.30%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Owanyilla,R02 - GM,4650,QLD,GO,1 in 2,Very Low (<10),1,1,0,2,3,7,42.90%,28.60%,0.00%,28.60%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
(No Suburb Listed),R02 - GM,4650,QLD,ON THE FENCE,1 in 11,Medium (20-49),2,15,2,1,2,22,9.10%,13.60%,9.10%,4.50%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Aldershot,R02 - GM,4650,QLD,KEEP AWAY,No Claims,Low (10-19),0,4,0,6,0,10,0.00%,60.00%,0.00%,60.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Tiaro,R02 - GM,4650,QLD,KEEP AWAY,No Claims,Very Low (<10),1,5,1,2,0,9,0.00%,33.30%,11.10%,22.20%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Rockhampton City,R06 - RER,4700,QLD,WORTH IT,1 in 4,Very Low (<10),0,7,0,0,2,9,22.20%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
The Range,R06 - RER,4700,QLD,ON THE FENCE,No Claims,High (50+),13,33,7,5,0,58,0.00%,20.70%,12.10%,8.60%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Rockhampton,R06 - RER,4700,QLD,ON THE FENCE,No Claims,High (50+),8,33,3,13,0,57,0.00%,28.10%,5.30%,22.80%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Allenstown,R06 - RER,4700,QLD,ON THE FENCE,1 in 25,High (50+),12,24,3,9,2,50,4.00%,24.00%,6.00%,18.00%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Wandal,R06 - RER,4700,QLD,ON THE FENCE,1 in 43,Medium (20-49),16,21,1,4,1,43,2.30%,11.60%,2.30%,9.30%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
West Rockhampton,R06 - RER,4700,QLD,ON THE FENCE,1 in 26,Medium (20-49),11,11,1,2,1,26,3.80%,11.50%,3.80%,7.70%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Depot Hill,R06 - RER,4700,QLD,ON THE FENCE,1 in 7,Medium (20-49),4,13,0,1,3,21,14.30%,4.80%,0.00%,4.80%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
(No Suburb Listed),R06 - RER,4700,QLD,UNPROVEN,No Claims,Very Low (<10),0,5,0,0,0,5,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Frenchville,R06 - RER,4701,QLD,ON THE FENCE,1 in 26,High (50+),42,79,7,23,6,157,3.80%,19.10%,4.50%,14.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Berserker,R06 - RER,4701,QLD,ON THE FENCE,1 in 20,High (50+),45,84,1,3,7,140,5.00%,2.90%,0.70%,2.10%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Norman Gardens,R06 - RER,4701,QLD,ON THE FENCE,1 in 66,High (50+),47,60,4,19,2,132,1.50%,17.40%,3.00%,14.40%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Koongal,R06 - RER,4701,QLD,ON THE FENCE,1 in 13,High (50+),31,53,3,11,8,106,7.50%,13.20%,2.80%,10.40%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Park Avenue,R06 - RER,4701,QLD,ON THE FENCE,1 in 8,High (50+),26,41,3,9,11,90,12.20%,13.30%,3.30%,10.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Kawana,R06 - RER,4701,QLD,ON THE FENCE,1 in 21,High (50+),12,29,4,14,3,62,4.80%,29.00%,6.50%,22.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R06 - RER,4701,QLD,UNPROVEN,No Claims,Low (10-19),0,15,0,0,0,15,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Nerimbera,R06 - RER,4701,QLD,KEEP AWAY,No Claims,Low (10-19),0,5,2,3,0,10,0.00%,50.00%,20.00%,30.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Lakes Creek,R06 - RER,4701,QLD,KEEP AWAY,No Claims,Very Low (<10),0,3,1,1,0,5,0.00%,40.00%,20.00%,20.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Mount Chalmers,R06 - RER,4702,QLD,WORTH IT,1 in 5,Very Low (<10),0,1,1,2,1,5,20.00%,60.00%,20.00%,40.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Gracemere,R06 - RER,4702,QLD,KEEP AWAY,1 in 7,Medium (20-49),0,14,6,8,5,33,15.20%,42.40%,18.20%,24.20%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
